review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R3VJHX5IUE1GW0,B09JL41N9C,"5.0 out of 5 stars Good sound, seamless iPhone integration.",Bobby K - NYC,5,"I like how secure these earphones are, comfortable and do not gall out. The sound quality is great, and easy to learr controls. In the beginning the soft ruber tips were getting painfully uncomfortable in 30 minutes or so, but once you find the right placement, the tip does bot dig into the ear anymore. I was hesitant to buy these because some reviews listed the charging case as flimsy, its not as sturdy as airpod case, but quality seems decent, and case is a little to big for my liking, but quality of the earphones make up for it and then some. Overall I’m very happy with these, use them for my commute, walking and running sessions, and they stay in ear good, never fallen out. Great quality sound.","Reviewed in the United States June 6, 2024",AFPG4YAKAUOQ6GGBHNKLZ4E3JDBQ,True,12,Color: Beats WhiteStyle: Fit ProSet: Without AppleCare+
R3O2F0G4RQELXK,B09JL41N9C,5.0 out of 5 stars Movement focused TW earbuds from Beats with great sound,Ant,5,"My pair of Beats Powerbeats Pros were starting to die out on me. I had purchased them secondhand so I wasn’t too upset, but I needed a replacement. I decided to get a new pair of true wireless earbuds this time around.After doing some research on the top recommended workout focused true wireless earbuds, it came down to the Beats Fit Pro and the Beats Studio Buds.Ultimately I decided on the more expensive of the two, thinking it would be worth the extra cost. I got them on a sale that was running here which makes it even better. My use case for them would be for gym workouts such as jogging/walking and lifting, and also for casual use at work and home.I’ve had this pair for a little over 1 year and 6 months. I have purchased Apple care + for them but have not had to use it.EXPERIENCE:The sound on these, personally, is really enjoyable! The noise cancelling and transparency mode work so well.If I’m at the gym and don’t want to hear the other people making noise with their machines or the running of treadmills? Turn on noise cancelling and have music on. In a snap, the outside noises seem to be gone.At work and don’t want to miss a phone call?Turn on transparency mode and you’re free to hear sounds around you. Even better with just one earbud in, too.The mic quality on calls seems to be passable, people seem to hear me fine.*Small note: there is a tiny rip in the silicone/plastic on the right bud’s button near the bottom. I suspect this is from wearing them when going to bed sometimes. I usually wake up and find them out of my ears. There are times where they’re still in my ears, but I tend to move around during when asleep.OTHER THOUGHTS:I really like the wing tips on the earbuds, they stay in my ears perfectly. Sure, there was some soreness in my ears in the beginning, but my ears got used to it pretty fast. Also, the ear tip size helps a lot. Make sure you try all the included sizes to really figure out which one is most comfortable.There is definitely a learning curve on inserting the earbuds into your ears. Once you get the method of inserting them smoothly and creating the right seal, they are more enjoyable. Look at one of the animations in the earbud’s description for reference.Plus, the sage grey colorway just looks dope. Wish there was a lava red colorway available like the Powerbeats Pro.These work great with my iPhone and connected to my PC. Can’t speak for performance on an Android device. I am perfectly happy with this purchase!(Pictured is the earbuds, with an aftermarket cover on the case to protect from accidental damage)","Reviewed in the United States March 8, 2024",AFHZTD2L5OXDW2RC4GDSIBRMAB6A,True,53,Color: Sage GrayStyle: Fit ProSet: Without AppleCare+
R35IQTO062Y7LU,B09JL41N9C,5.0 out of 5 stars Best wireless noise cancelling earbuds I have used so far,theInternational,5,"I am a long-time user of the Bose QuietComfort 20 Acoustic Noise Cancelling Headphones. These are my favorite noise cancelling option to use while taking walks. I like to listen to audio books while walking and the QuietComfort 20 are superb for this use. I also like to use a noise cancelling option while listening to audio books and podcasts in the car, especially because my car does not contain road noise well. I decided I would like to have a second QuietComfort 20 reserved for use in my car. An additional advantage to having a second one is if anything happens to the one I walk with, I'll have a backup. But, unfortunately, Bose discontinued the QuietComfort 20 forcing me to have to find another option for use in the car.I first purchased the wireless Bose QuietComfort Earbuds. But I found much to dislike about them. They feel heavy in the ears; the buds themselves just feel heavier and less comfortable than the QuietComfort 20 Headphones. I also disliked that every time I put the Bose QuietComfort Earbuds into my ears they speak to me telling me they are trying to connect to my device and also reporting battery state. I found this incredibly annoying. Another thing I hugely disliked was that there is an uncomfortable ""boom boom"" sensation as I walk with them in. I wear Vibram FiveFinger shoes and do not walk with a heavy gait. I do not get this ""boom boom"" sensation when walking with the QuietComfort 20 headphones. I also disliked how big the Bose QuietComfort Earbuds' case was. I disliked how the Bose QuietComfort Earbuds sometimes felt like they weren't secure in my ears and when I would try to adjust their stability I would accidentally change the noise cancellation setting. On two occasions, an uncomfortable high pitched sound emitted from one of the buds; it only lasted for a couple seconds but it was annoying. I tried using the Bose QuietComfort Earbuds for a month and never could bring myself to like them, so I returned them. I now have a strong dislike for Bose, primarily because they discontinued my beloved QuietComfort 20 Headphones. But up until recently, I was a huge Bose fan.I purchased Apple AirPods Pro. I immediately fell in love with the H1 chip operation. But I didn't like the color white. I also didn't like the stalk that extends down. But I started using them thinking I had found my noise cancelling option for the car. And although the AirPods Pro delivered some ""boom boom"" sensation while walking, it was much much better than the Bose QuietComfort Earbuds. Then I started to become aware of a huge problem with the AirPods Pro. They would not stay in my ears. I would place them in ear, hear the noise cancellation activate and then in time the noise cancellation would turn off because one of the pods had pushed out of my ear enough to cause the noise cancellation function to disengage. I found myself constantly having to push them into my ear in an effort to keep them from pushing out. A couple times they plain fell out of my ears. I consulted instructionals on how to properly insert them into my ears for proper fit. I also did the fit test and passed the test indicating I had good seal. Only the seal wouldn't last and the pods would eventually push out of my ears. So I had to return the AirPods Pro because they wouldn't stay in my ears.I purchased some non noise cancelling earbuds thinking that a passive seal would be enough, but I found a number of problems with this option. I didn't like shoving thing way into my ear. Not only was it a little uncomfortable, but I also wondered about the sanitariness of touching (e.g., foam inserts) prior to shoving them into my ear. Maybe this could lead to ear infection? Also, the amount of sound isolation was too good which diminished my situational awareness while walking and/or driving. So passive noise block earbuds weren't solving my use need.I was worried there was no option for the car and I would not have a backup to my beloved QuietComfort 20 headphones. I really wish I could buy another pair of QuietComfort 20 headphones just to have a backup for the future. After delaying and delaying, I decided to go to the trouble to try one last option for the car: the Beats Fit Pro. Eureka!The Beats Fit Pro are fantastic! They have the H1 chip, which is awesome. They fit and feel way better than the Bose QuietComfort Earbuds and are super secure in my ears, unlike the AirPods Pro. The Beats Fit Pro feel so light to wear. I can wear them all day and there is no discomfort. They also have a button to cycle through the noise cancellation options, which I like a lot better than the tapping that was needed on the Bose QuietComfort Earbuds. I also like the button press on the Beats Fit Pro better than the stalk-squeeze on the AirPods Pro.The one edge that I might say the Bose QuietComfort Earbuds have over the others is the noise cancellation. The Bose QuietComfort Earbuds arguably provide more intense noise cancellation that results in more of a bass presence and a sense that the content being played is closer to you. However, there is a cost to this that I don't think is worth it. The biggest cost for me was the ""boom boom"" sensation while walking. I don't know exactly what is to blame for this but it completely ruins the earbuds for what I want to use them for. I found the fit and noise cancellation of the Beats Fit Pro to be better suited to my needs.I wrote this to help others in their quest to find the earbuds that work best for them. I strongly recommend giving the Beats Fit Pro a try. I like them a lot. I think many others will too.ADDENDUM (added 2022-NOV): My beloved wired Bose QuietComfort 20 Acoustic Noise Cancelling Headphones stopped working a few weeks ago. I purchased the wired Bose Headphones many, many years ago and used them a lot, so it was not unexpected. Fortunately, the Beats Fit Pro have been able to replace the wired Headphones for my daily walks. The Beats Fit Pro have minimal ""boom boom"" sensation while stepping/walking. Although the Beats Fit Pro have more ""boom boom"" than the wired Bose Headphones, the ""boom boom"" is minimal and much, much better than offered by the wireless Bose QuietComfort Earbuds. I have been using the Beats Fit Pro in cold weather lately and discovered that the physical side button on the Beats Fit Pro works fantastically when wearing a hat. For example, if I am wearing a thick knit winter hat, I can still activate the side button on the Beats Fit Pro by pushing on the outside of the hat. This can't be done with a touch-operation ""button"" like found on the Bose QuietComfort Earbuds. The AirPods Pro ""button"" might be more difficult to operate with a hat on too. So if you are intending to use earbuds under a hat or hood, Beats Fit Pro will give you the advantage of still having full, easy use of the side button for play/pause operation from outside the hat.","Reviewed in the United States July 13, 2022",AHJD4656VLR6I3TCW544TITKJBUQ,True,734,Color: Sage GrayStyle: Fit ProSet: Without AppleCare+
R2LFEEQXQDETXR,B09JL41N9C,4.0 out of 5 stars Good Apple Ecosystem Option for Running,C. Godby,4,"Before buying the Beats Fit Pro, I've owned the PowerBeats Pro and AirPods Pro 2. I'm a runner that wants an Apple ecosystem option that has decent sound quality and won't fall out of my ear. After two runs and a trip to the gym, I'm happy with them so far. Out of the three options above, I consider them the best option for running. My quick thoughts on each:The PowerBeats Pro has been out for two or three years now and I'm surprised there hasn't been an updated model. They're good earbuds for runners...when they work. And the when they work part is infuriating. The earbuds have to line up perfectly with the charging connections in the case or they won't charge. I can't tell you how many times I've gone to use them and found one fully charged and the other dead. There was even a potential class action lawsuit filed against Apple on that (search for it). When they work, the PowerBeats Pro are solid because they hook around your ear. You can have confidence when you run they're not going to fall out - I never had an issue in the two years or so I owned them with that. There is also a physical button for changing songs and pausing the music and a rocker for changing the volume, which is convenient. Cons: sound quality is ho hum in my opinion - it never feels like they secure cleanly in your ear. Also, there's no wireless charging or noise cancellation. Oh, and of course the infuriating charging issues. I would not buy the PowerBeats Pro again for that reason.On to the AirPods Pro 2. These earbuds have better sound quality in my opinion than both the PowerBeats Pro and Beats Fit Pro. The noise cancellation meaningfully improved from gen 1 to gen 2. There's wireless charging and a speaker installed in the case so you can ping them using the ""find my"" app on your iPhone. For day to day use around the home or office, these earbuds are awesome. However, at least for me, they're not for running. While more secure than the regular AirPods, they still fall out of my ears sometimes and that certainly applies to running. If you buy after market rubber hooks, Air Pods Pro 2 (and 1) will stay secure when running and provide a good experience (they don't fall out). That said, having to attach the rubber hooks each time you go to run is a pain in the butt.The Beats Fit Pro makes some compromises, but in my opinion it's the best option for runners based on my limited experience so far. The rubber wing tips ensure that the Beats Fit Pro has a secure fit in your ear. They've felt secure running and haven't fallen out in my experience so far. There's a physical button for changing the song, activating noise cancellation, and pausing the music. Versus the PowerBeats Pro, there's no rubber hook so they're not as secure and there's no volume rocker. However, they do have noise cancellation and fit more snugly in your ear. As a result, I think the sound quality is a little better than the PowerBeats Pro, but not as good as the AirPods Pro 2. On the downside, I think the case feels cheap compared to the AirPods, there's no wireless charging, and there's no speaker on the case for the ""find my"" app. In addition, the case charges using USB C instead of lightning (btw, it's a USB C to USB C cable included with them and there's no power brick included). USB C is coming to iPhone and I believe is already on iPad, but it's irritating that it has a USB C cable instead of lightning when your life revolves around lightning cables.In short, avoid the Powerbeats Pro - the charging issue is a design flaw and will lead to frustration over time. The AirPods Pro 2 are awesome, but they're not a good option for running since they will fall out of many people's ears. The Beats Fit Pro makes compromises, but in my experience so far its the best Apple ecosystem earbud for running.","Reviewed in the United States February 8, 2023",AHYLFTWLZ5YY5FWN3UBI4YSR3ROQ,True,225,Color: Beats BlackStyle: Fit ProSet: Without AppleCare+
R2JXCMRVKF84KR,B09JL41N9C,5.0 out of 5 stars Elevating the Listening Experience,Kailash,5,"I recently had the pleasure of trying out the Beats Fit Pro True Wireless Noise Cancelling Earbuds, and I must say, I am thoroughly impressed with their performance. These earbuds offer a premium listening experience that elevates every moment, whether I'm working out, commuting, or simply relaxing at home.One of the standout features of these earbuds is their impressive noise cancellation capabilities. They effectively block out external distractions, allowing me to immerse myself fully in my music or podcasts without any interruptions. This is particularly useful when I'm in noisy environments like the gym or on public transportation.Additionally, the sound quality of the Beats Fit Pro earbuds is exceptional. The audio is crisp, clear, and well-balanced, with deep bass and detailed highs that make every song come to life. Whether I'm listening to my favorite tracks or taking calls, the sound quality never disappoints.I also appreciate the comfortable and secure fit of these earbuds. The ergonomic design and multiple ear tip options ensure a snug and stable fit, even during vigorous exercise or movement. Plus, they are sweat and water-resistant, making them perfect for workouts or outdoor activities.The battery life of the Beats Fit Pro earbuds is also impressive, with up to 6 hours of listening time on a single charge and an additional 18 hours provided by the charging case. This means I can enjoy uninterrupted music throughout the day without worrying about running out of battery.Overall, I cannot recommend the Beats Fit Pro True Wireless Noise Cancelling Earbuds enough. Their premium sound quality, effective noise cancellation, comfortable fit, and long battery life make them a top choice for anyone in search of high-quality wireless earbuds. Whether you're a music lover, fitness enthusiast, or frequent traveler, these earbuds are sure to enhance your listening experience.","Reviewed in the United States March 21, 2024",AG77DIMEIWDUUMGCBEAOODGVITPA,True,5,Color: Tidal BlueStyle: Fit ProSet: Without AppleCare+
R1OV5BV9ZL0N1Q,B09JL41N9C,5.0 out of 5 stars Great active ear buds,Diana White,5,"These are the first ear buds I’ve had that don’t fall out of my ears when I’m sweating. I’m very physically active and any time I start moving and sweating I’ve had issues with earbuds falling out. These stayed put and the sound quality is fantastic. The plus about these is that they are push as opposed touch active. Most earbuds that you have to touch or tap to answer a call or pause music are way too sensitive. With these being push/press active, gives a little more control. They are higher in price but they are worth it based on the quality, and performance. I will say that I did wish the battery life was a little longer but that’s minor considering I can make it almost a whole shift before I have put them in the case to charge. The only thing I really don’t like is the case. It does seem a bit flimsy and like if dropped without a protective case, it would crack or the hinge part can break easy.","Reviewed in the United States June 29, 2024",AFQSGQMILO5JRG227KEVUHWQKOOA,True,0,Color: Stone PurpleStyle: Fit ProSet: Without AppleCare+
REDXSAP527XVD,B09JL41N9C,5.0 out of 5 stars Compared to 4 other Earbuds...,Connor,5,"I bought these earbuds along with 4 other pairs, with the intent of comparing them over a couple weeks and returning all but my favorite. Here were the results:Beats Fit Pro - https://www.amazon.com/dp/B09JL65GNM?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – These buds had some great base, and the wingtip gave them a fit that made them refuse to fall out of my ears. But the best feature? Physical “clicky” buttons on each one of the buds. You press in and hear/feel the click, rather than relying on a touchscreen-like feature. No need to guess if you tapped them once or twice, you will know.Cons – The wingtip gives a very sturdy fit, but not the most comfortable. I wouldn’t recommend to anyone with smaller ears. The noise canceling was solid, but nothing special. And this may be picky, but I didn’t care for most of the color schemes available. I prefer my earbuds to be hard to notice, and even the black ones have a bright red letter “b” in the middle.Beats Studio Buds - https://www.amazon.com/dp/B096SV8SJG?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – Very comfortable with the same great physically “clicky” buttons as the Beats Fit Pro. Noise canceling seemed slightly better than average. Great base. Classic look.Cons – Tested during a workout, a little bit of sweat had these sliding right out of my ear. The case for these earbuds also was the flimsiest of any I had tested, with a very weak hinge that I was scared of breaking off within the 2 weeks of using.Samsung Galaxy Buds Pro - https://www.amazon.com/dp/B08MWZHHKP?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – A neat feature that I noticed only in these earbuds was that it had noise amplification as well as noise cancelation. With one swipe in the app, the surrounding sound was actually louder and clearer than it would be without the earbuds in. Great if you are hard of hearing, or just enjoy snooping on conversations out of reach.Cons – Similar to the Beats Studio Buds, these didn’t stay in during a workout. They were usable, but every 10 minutes I found myself pushing them back into my ear. And this is an opinion, but these are the ugliest earbuds out of the bunch. The shiny black gleam made it look like a large beetle was hanging out in my ear. No visible brand placement either, which makes them appear cheap and generic rather than the quality Samsung they are.Samsung Galaxy Buds Live - https://www.amazon.com/dp/B09TBM1L3S?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – Cost effective! I added these to the test group because of the unique shape, and for that they are worth giving a try. If you have small ears and do not like the rubber insert that is standard in most other earbuds, these may be perfect for you.Cons – Poor fit for large ears. These were tested the least of all of the buds, because the fit was so bad for my ear shape that they wouldn’t stay in if I turned my head too fast.Bose QuietComfort - https://www.amazon.com/dp/B08C4KWM9T?psc=1&ref=ppx_yo2ov_dt_b_product_detailsPros – Bose noise canceling is unmatched. If your primary use for earbuds is to cancel out that background white noise, this is the pair for you. The sound quality is great, not too heavy on the base. The case for the earbuds stood out from the rest as the only one that impressed me. Felt very study, and I had no worries tossing it into a gym bag or cup holder. The only case with a button latch to make sure it doesn’t open accidentally.Cons – This was the most expensive pair of earbuds by a longshot, and there were still some things I felt could be improved. The rubber inserts had more of a “flayed” shape rather than the “rounded” shape that is standard. My guess is that this was by design, because the earbuds were also slightly heavier than others and may need that extra in-ear grip. The flayed shape did make them sturdier, but at the cost of them being uncomfortable in an active situation. They were also the largest earbuds, and stuck out from the side of my head further than I would have liked.My favorite? The beats fit pro! While I wouldn’t recommend this pair for everyone, it was perfect for my routine. My music taste benefits from the boosted base, and the wingtip shape was perfect for any workouts. The feature that really convinced me was the physical buttons, something that I didn’t realize how desperately I needed.","Reviewed in the United States August 11, 2022",AFEITP6Y25NKH3KB2LXWQCC7STIA,True,476,Color: Sage GrayStyle: Fit ProSet: Without AppleCare+
R322R5QYYTA6AO,B09JL41N9C,"4.0 out of 5 stars Great buy ONLY on sale, but their are other options..",Nadeem husein,4,"Pros- Fantastic bass heavy sound signature!- will never fall out of your ears- very great every day usability- perfect for working out/ running- super attractive lookingCons- The wing tip can start causing fatigue on the part of your ear where it would rest.- because of the design, might not be suitable for small ears (they are quite large)- The case is very cheap and flimsy feeling ( the lid is a bit loose and the overall case will scratch easy)- the case charges the earbuds weirdly unevenly (Raised reliably concerns)- the price**Overall great buy if u get it when discounted. Not worth full price.**if u are looking for THEE most bass heavy earbud option for working out, the SoundCore sport X10 and sport X20 are what you need. Plus they are much more affordable if u can get over not having the beats name.","Reviewed in the United States May 8, 2024",AGMF5KDCJV6T66MRCGVPM3RU44RA,True,22,Color: Beats BlackStyle: Fit ProSet: Without AppleCare+
R3OU5G5RXBTK3T,B09JL41N9C,"5.0 out of 5 stars Finally, Something By Beats I Can Endorse",Jeff Gomske,5,"I work in radio. I've done it for 30+ years and one of the curses/blessings of working with audio is I have grown to understand intimately what really good audio sounds like. I have used countless number of headphones and earbuds (and there 𝙄𝙎 a difference between the two) and there are a few names which stand above the rest, and I'm not going to get into a debate because so-called, 'Audiophiles' will claim they know better (Which begs the question, how does one actually 𝙗𝙚𝙘𝙤𝙢𝙚 an Audiophile in the first place? Is there a course you can take, or does one simply give themselves that title? But I digress...) when Beats first hit the scene, they were unquestionably an astonishing waste of money. Their audio quality was maybe a shade above average at best. But, that didn't stop millions of people from buying them at outrageous prices. Well, the uncontested King of over-priced products (apple) got wind of this and did a takeover of their products and an interesting thing happened: their quality got BETTER.Did they become as good as most ""professional"" headphones out there...? Probably not. However, their earbuds did become notably better. I feel it necessary to point out that while Beats headphones were nowhere as good as many claimed, their earbuds from the beginning seemed to be pretty good from the get-go. Their unique ""hook"" style which wrapped around your ear for a secure fit (you either love this style or not - but you cannot argue that they did not fit and stay in place better than almost any other brand out there). Some of their other wired earbuds were still decent as well, if not priced at the upper end of what most people were willing to pay, but at least the earbuds could be counted on to give you an above average experience.Apple buys them out and reorganizes the entire company. Suddenly they are no longer all over the place like they used to be. Famous people were no longer wearing them everywhere you looked. Then apple releases their Beats branded earbuds, the Powerbeats Pro. Love them or hate them, they made an impact.They were also equipped with apple tech like their H1 chip which made them instantly compatible with iPhones (a pretty smart move, actually) and the audio was excellent, especially for working out. Then they release the Beats Fit Pro.A radically different design. But - a welcome one, especially for someone who loved the Powerbeats great audio quality, but not the hook design. Again, it's hard to please everyone when it comes to something that fits inside your ears that have so many different possible sizes and an almost infinite number of differences from one person to the next...like the apple airpods, one size fit 𝙢𝙤𝙨𝙩...and if you were one of the people they did not fit, well you were kind of SOL. At least with the Fit Pro they opened up better fitting to a much larger segment than the airpods and with the included wing-tip design, they immediately caught the eye of many athletes who need earbuds which stay put while sometimes being fairly aggressive in their workouts. If you were not a fan of the Powerbeats hook style, the Fit Pro's must have looked like a gift from On High.FIrst off, they really DO sound great. Good bass without going too deep. Music NEEDS good bass, but if it thumps too hard, it will ruin audio in more ways than I can describe here. Mids and Highs were also both pretty crisp and not overly isolated. The blend just works. Whoever tuned the Fit Pro should be commended for doing such a great job.ANC was...disappointing. To be fair, to get great ANC into such a tiny device really IS a challenge and oftentimes going all-in on this feature usually means you sacrifice audio quality. In this case, Beats chose to put more into the audio than into the ANC. I had a difficult time even recognizing that it was even turned on at all. Maybe my pair simply isn't doing it's job. However, the OnePlus buds Z2 has ANC that is actually pretty good and still has really impressive audio as well, so I'm not exactly sure why the Fit Pro's is so difficult to even tell if ANC is on or off, but I can only review what I have and that seems to be the case with my particular pair.The wing-tip design really works well - for me at least. They provide a pretty good fit and they stay put incredibly well. My biggest problem with earbuds is exactly that. Either they'll fit well, or almost not at all. It doesn't seem to fall anywhere in between. My OnePlus buds Z2 sound great, but I constantly find myself adjusting them in my ears - which honestly is annoying. The Fit Pro's (at least in my case) I set them in, twist to secure the wing-tip and they just stay put. This is going to be subjective since everyone is slightly different, so keep in mind my experience with how they fit in my ear may not mirror your own.You can do a little customizing with the app. I do have an iPhone but I primarily use an android, so I downloaded the app and you can to a bit of customizing, however, not as much as I would have liked to have seen given what these earbuds are capable of. I believe the iPhone integration has quite a bit more options than the android counterpart. This seems to be more the norm these days as apple and Samsung work hard to reward you for buying products that are more in line with their products than the competition. I wish they'd both put an end to this childish bickering and open up all their products that can be used on other platforms to include all the options that they would have if you paired it with an iPhone or a Samsung. Either you want your customers to get the best bang for their buck or not.I like the physical buttons the Fit Pro uses. You'll know by touch that you've pressed it instead of simply the ""touch"" controls which in my experience can be hit or miss. When they work great, it's awesome. But do they all work perfectly every time? Of course not. With buttons, they seem to work pretty much 100% of the time and that's something I appreciate.No wireless charging. At this point, especially for the cost, that really is something they should have included. Is it a deal breaker? For some it very well could be. It wasn't for me, but I love wireless charging and think every pair of wireless earbuds over $100 really ought to include it. I know earbuds that cost under $40 that do, so to not include it here seems to be almost an insult. They use USB-C charging which IS convenient however. Beats claims they have fast charging however, in fact they call it ""Fast Fuel"" where just 5 minutes of charging will net you an hour of listening...I haven't been able to check this, but I CAN state that they do seem to charge pretty quick, so that may negate some of the disappointment of not having wireless ability, but necessarily so.The case is pretty nice, too. It is quite a bit smaller than the case for the Powerbeats, but still larger than what you get with the airpods. I honestly didn't mind the size at all, so this one is also going to be pretty subjective.For the most part, these are the first apple made earbuds that I can recommend even if you own an android device. The audio is stellar and they seem to hold a charge for about an average length of time for earbuds of this size. I rarely listen for more than about an hour, maybe 2 at the most, so I'm not the guy to look for with advice on listening at length (unless it's for headphones, then I can make a LOT of recommendations). Honestly, I'm happy with mine. Are they perfect? No. But are they worth it? I sure think so.***UPDATE***I purchased some memory foam eartips...not sure that this was a wise decision. Not because they don't work or fit well, but because they are slightly larger, it means fitting them back into the charging case either they won't charge or they'll be problematic to fit properly. Now, in all fairness, this wasn't an issue with the smallest foam eartips, but the medium and larger ones did not like to fit back into the case. They also did not really make any noticeable difference is audio quality, so I switched back to the original tips they came with. Lesson learned.","Reviewed in the United States March 22, 2023",AHJED44JHCW4ATDA2K2MQRWPZQ7A,True,557,Color: Volt YellowStyle: Fit ProSet: Without AppleCare+
R14J76DRBT8EHE,B09JL41N9C,"4.0 out of 5 stars Wonderful sound quality, great features, but missing one important feature",J. Sierra,4,"I'll start by stating that I appreciate and recognize great quality audio, and certainly prefer the highest quality audio that I can reasonably get when I'm listening to headphones and/or earbuds. That being said, the important word here is ""reasonably"", and I don't have tremendous expectations from earbuds that are also intended for working out, etc. it's just not reasonable to expect to compare them to over-ear headphones, in terms of quality or features. Noise cancellation, bass response, highs, mids.... Over-ear are always going to edge out earbuds. There's just more space to make it all work.Ok that's out of the way. I didn't have huge expectations and I wasn't even convinced that the buds would be worth the $150 (they were on sale when I bought them.) I'm not convinced *any* ear bud is worth more than $100, and I've tried some very ""high-end"" units.So I pulled the trigger with some hesitation, received them, charged them up, paired em to my phone after downloading the proprietary Beats app (didn't like that, but there's good news), popped em in (after trying the different sized ends) and went on a run (because I feel like that constant bouncing is the likeliest to cause them to fall out.)I was.... Extremely surprised. Surprised and a little impressed. Sound quality is actually really, really good... Far better than I would've expected from a Beats product, more akin to the high quality Sony and Technics units. There are two ""modes"", sound-cancelling and transparency mode (transparency mode allows for awareness of what's going on around you by almost enhancing ambient noise.) Noise cancellation is surprisingly good, though yes, okay, not the absolute best I've heard but it's in the top 3 for ear buds, no question. It's effective, even if it eats battery up like crazy. I appreciate transparency mode though - especially while running or biking. It's not disturbing to have the ambient noise available and there's a safety component there that can't be overstated. And it works really well.Pairing them up was a little... Interesting. They're clearly designed by and for Apple people, so if you're rocking that Apple tech the process is probably mostly automated (that's as advertised) but with Android you theoretically have you use a Beats app. At first that aggravated me (I really hate proprietary apps) but then the pairing failed and I discovered that I could indeed pair via Bluetooth, it's super fast and easy, and the Beats app just gives me a handy place to activate some features/controls. I can't speak to the Apple experience though.Charging is where I was actually disappointed enough to take a star off the product. The case is ok, has cool little magnets to keep the buds in place, but it only works as a charging station when plugged in. No wireless charging. That's a huge miss for Beats. Huge. There are a ton of comparable products at that price profile and all of them offer wireless charging. It's maybe not a deal breaker and they do have ok battery life but it's... Extremely disappointing. Battery life is going to depend a lot on whether you use noise cancellation or not. Kind of a big fluctuation there, ymmv, maybe not the best but definitely far from the worst. They certainly last well beyond exercise sessions, and are capable of giving most of your day music. Again though, lack of wireless charging is blatantly, conspicuously missing. And it's annoying because if it had wireless charging the battery life would almost become inconsequential. Fortunately, thanks to Amazon, there are actually aftermarket cases that do have wireless charging, giving you approximately three days worth of charge. It's an extra thirty bucks so it's something you'll want to keep in mind/consider as part of ownership. Don't get me wrong, it's not a deal breaker - there's plenty of battery life - but it's one of those things that premium buds should have. Period. And these are supposed to be premium buds.The fit is exceptionally comfortable. There are several tips that help with sealing but also support the stability in the ear while doing exercise. After a run/jog session they stayed in without any issues. Even with plenty of sweat, they were good to go. The extra little fin protrusion also contributed effectively to it staying in and in place. I would have been more surprised at this but I've been using ear bud hearing protection recently and they're so light and well fitting that I know what good buds are capable of in this particular domain.The features are actually pretty neat, but mostly expected, like swapping automatically from buds to phone and back again, going single-bud with nary a hiccup, and plenty more. They're pretty slick in functionality. The buttons are also tactile, providing a neat click; seems like a little thing but from an interface perspective it's a surprisingly big deal, and it works really well.So, are they good? I think that they're overpriced but I think all ear buds these days are so, grain of salt. I think they're very very good buds, they exceeded my admittedly mid expectations, they function flawlessly and most importantly: they deliver great sound. Would I buy them for two bills? Eh.... Knowing what I know now about them and how good they are, that goes from a hard no to a soft maybe. At $150ish I think they're a decent value. Are they better than over ear options? Not in terms of sheer quality no, but: they're a million times better for exercise and working out. Unless you like being one of those douchey gym rats with the Beats over-ear. Then I can't help you.For the rest of us, these are a very fine choice. Sony and Technics have offerings that actually do have intensely high quality audio, but these come close enough in terms of audio and they're good for a sweaty, bouncy, jouncy session of your favorite exercise, whatever that might be.As always, ymmv. But hey, with Amazon if you don't like em, you can just return them. Hopefully my review helped a little.Merry Christmas!","Reviewed in the United States December 26, 2023",AHG4U7VZCV63NJNZUKLWXRXUFIKQ,True,22,Color: Sage GrayStyle: Fit ProSet: Without AppleCare+
