review_id,product_id,title,author,rating,content,timestamp,profile_id,is_verified,helpful_count,product_attributes
R20IRE5X6WY351,B08528YFM2,5.0 out of 5 stars Great headphones!,Talia Calazans,5,"I love these headphones, and I wear them all the time. They are pretty comfortable and also very cute. They are not too bulky. The noise cancelling is not great at cancelling voices, it really just cancels out background hums, which was a bit frustrating, but does well enough on things like planes. Other than that the sound is pretty good (as someone who does not care much about super high quality sound so I'm pleased with not bad). Battery is good, will last me a few days of pretty extensive use. Bought these on sale for $70 and it was increadibly worth it for this price.","Reviewed in the United States June 1, 2024",AG6TODKB7VQYDH7KJ2MKHF6RQEGA,True,7,Color: Shadow GraySet: Studio3
RFGOLBEISEB55,B08528YFM2,5.0 out of 5 stars Great Headphones!,Leosha Williams,5,"These headphones are absolutely amazing! The volume, how they fit, the price, all top tier! I was stuck between these and the solo 3’s. I did my research and saw that the Solo 3’s can get uncomfortable after a while and that they don’t have noise cancellation. So I switched my focus onto the studios, and I'm glad that I did. The quality of these headphones is phenomenal! The bass sounds great. The headphones already drown outside noise out, but then when you cut the Actuve noise cancellation on, it’s like you’re in the world alone. I really couldn’t hear anything. Another plus is the fact that I have 21 days to add AppleCare+ to them. All of my products are protected with Applecare+ and this one will be as well. I definitely recommend these headphones if you’re looking for a great pair with noise cancellation and great studio sound! 10/10!","Reviewed in the United States June 1, 2024",AFBT2YGFVT6CBITOKGANUEJ5WYHA,True,8,Color: Shadow GraySet: Studio3
R2399XIITPW93N,B08528YFM2,5.0 out of 5 stars Works great,Max Rundell,5,"They are sleek and great value for the money you spend. There are a lot of different headphones you can buy, but as far as over the ear headphones these are great. Very light, get a little discomfort after long use, but not bad at all. Sound is great quality especially for the gym which is my main use for these. Just be sure to wash the ear pads if you do this. Comes with an aux cord as well incase you need to hook them up differently than Bluetooth.","Reviewed in the United States June 18, 2024",AGONEWJIIDADSFNMIJQESOKWVG3A,True,1,Color: Matte BlackSet: Studio3
R1S3QWGEJLIK7Q,B08528YFM2,5.0 out of 5 stars amazing headphones,N/a,5,"great headphones, often have very significant discounts from what i can tell. Sound quality is very good, battery life is not exaggerated and is easily in the 20 hour range even close to 2 years after buying, good noise cancellation. can feel a little tight if worn for >1 hour etc but not bad. bass is very good, rap/ hip hop songs etc sound amazing, punk rock music probably less so but still very good. i use them for running too.","Reviewed in the United States June 21, 2024",AGVMWTJXVGQBYWLPQAHT3YPKMC2Q,True,1,Color: Matte BlackSet: Studio3
R2T8PKNM1Q1XQK,B08528YFM2,5.0 out of 5 stars Whew!,I Allen,5,Perfect size and the case is sturdy. Volume control and noise cancellation is as expected. Love that it is wireless and comfortable. The color was exactly as pictured,"Reviewed in the United States June 7, 2024",AH772ZEXHMF27UGEAYNKXL6I4OPA,True,1,Color: Shadow GraySet: Studio3
R2AGD67A8P04AC,B08528YFM2,"4.0 out of 5 stars Great headphones, just don't fit my big ears.",Jacob,4,"Jan 2023 - First, I am not an audiophile. So, this review will not be super technical, just an average Joe who doesn't mind paying for quality products.I did quite a bit of research before buying my next set of headphones. I read tons of reviews on Amazon and the web. I read multiple ""review/ratings"" articles online that compared numerous headphones. Ultimately, I decided to buy these because I have an iPhone and AppleTV that they work seamlessly with, and they were always rated highly at their price point.I've used them for about 2 months now. They were simple to pair with my iPhone. When I am in my living room with my AppleTV on and I turn them on, my AppleTV asks me if I want to pair them, and they have done that easily every single time. I love this seamless functionality.I use them at work primarily. I work in office with 20+ cubes. I use them often simply for the noise-canceling to stay focused, and I use them just as often to listen to podcasts and music. When in noise-canceling mode, they do not remove 100% of every sound around you. No headphones can (that I am aware of). But, they do a great job creating a virtually noise free environment with a light ""white noise"" in the background (similar to a fan in the distance). You can turn noise-canceling off, and then the noises around you are simply muffled (if you're not actively playing something on the device you're connected to).As mentioned previously, I listen to podcasts, music, and watch TV and movies with these. I think they sound fantastic with all of these. Occasionally, they do sound just a tiny bit bass-heavy for some of the music I listen to or during movies with high-action scenes that have a lot of explosions, but that's just me I guess. Some people probably prefer that with the music/media they have.My one peeve is that they don't completely fit over my ears. The good news is the cushions on the earcups are super soft. So, I can still wear them comfortably... for hours. This doesn't seem to affect the noise-canceling at all.Lastly, they seem to have a really good battery life with my usage style. I use them for varying lengths of time. At work, it's not uncommon to get interrupted and need to turn them off after 5-10 mins because I need to step away from my desk, and sometimes I will have them on for 2+ hours. At home, I often use them at night to watch stuff on my AppleTV so that I don't take a chance of waking up my kids while they are sleeping, and I can get hours of watch time in without needing to charge them (as long as they weren't close to being dead already).If you can get them on sale (like I did: $170), I wouldn't hesitate to buy them, and I saw them on sale a lot (but the sale price varied quite a bit) leading up to my purchase. I don't even think their regular price is all that bad for what you get.","Reviewed in the United States January 23, 2023",AH3SC2BAKM6AA7XJMTJ4KAET6MSQ,True,91,Color: Matte BlackSet: Studio3
R1UVTRVZ4F5DME,B08528YFM2,5.0 out of 5 stars LONG battery life.,Julian,5,"I recently invested in the Beats Studio3 Wireless Noise Cancelling Headphones, and the experience has been nothing short of exceptional. These headphones effortlessly blend style, comfort, and cutting-edge technology, creating a remarkable auditory journey for music lovers and audiophiles alike.The standout feature of the Beats Studio3 is its impressive noise-canceling capability. The headphones effectively block out external sounds, providing an immersive and uninterrupted listening experience. Whether I'm in a noisy commute, a bustling café, or even on an airplane, the noise-canceling feature allows me to escape into my music without being disturbed by the outside world.Comfort is paramount during prolonged use, and the Beats Studio3 excels in this aspect. The over-ear design, combined with plush ear cushions, ensures a snug fit without causing discomfort or pressure. The headphones are lightweight, making them ideal for extended listening sessions without causing fatigue. The adjustable headband allows for a customized fit, ensuring a secure and comfortable feel.The sound quality of the Beats Studio3 is exceptional. The headphones deliver a robust and well-balanced audio experience, with crisp highs, rich mids, and powerful lows. The bass response, a signature of the Beats brand, adds depth to the music without overpowering other frequencies. Whether I'm listening to energetic beats or soothing melodies, the audio reproduction is consistently impressive.The integration of Apple's W1 chip enhances the overall user experience. The seamless pairing process with Apple devices is a breeze, and the Class 1 Bluetooth connectivity provides a stable and reliable connection. The efficiency of the W1 chip also contributes to an extended battery life, allowing for up to 22 hours of playback on a single charge.The on-ear controls add a layer of convenience to the user experience. Adjusting volume, skipping tracks, and managing calls can be done effortlessly with intuitive controls located on the ear cups. The incorporation of Siri support allows for hands-free control, adding an extra layer of functionality.The durability and build quality of the Beats Studio3 are commendable. The premium materials used in construction give the headphones a sleek and sophisticated look, while also ensuring resilience to everyday wear and tear. The foldable design and included carrying case enhance portability, making them a practical choice for on-the-go lifestyles.","Reviewed in the United States March 3, 2024",AHUVU5TLJQFQMZKFR7YKDB55USPA,True,22,Color: Midnight BlackSet: Studio3
R1SMSYH9JKNH51,B08528YFM2,"5.0 out of 5 stars Impressive Sound Quality, but Lacking in Bass",prashant naik,5,"The Beats Studio headphones deliver impressive sound quality overall, with clear highs and detailed mids. However, I found them to be lacking in bass compared to other headphones in this price range. While the sound is well-balanced, bass enthusiasts may find it underwhelming. Despite this drawback, the headphones are comfortable to wear for extended periods, with excellent noise isolation. If you prioritize balanced sound over heavy bass, these headphones are worth considering. Four stars.","Reviewed in the United States May 16, 2024",AF7TF3C7U74FMUFC2FGM6GTADYMA,True,4,Color: Midnight BlackSet: Studio3
R1H100TYFQZJLK,B08528YFM2,2.0 out of 5 stars Please Read Before Buying.,O.Winnie Mittelberger,2,"My rating falls close to a 1.5 for multiple reasons:For starters, this headphone is marketed and sold as an ANC (Active Noise Cancelling), Over-Ear headphone. Typically, headphones like these are targeting people who buy them for travel (i.e. a plane ride) but also are helpful in any public space. Please keep this in mind for the rest of my comment. From the inside out, these headphones cannot hold their own with any other pair in the price range.I purchased my pair when they were 57% off, bringing the total from $350 to $160 (including tax), but I cannot in good conscious recommend them for either price bracket. Comparing them to the most common headphone in the $350 bracket, the Sony XM4 (and newly the XM5) are a essentially the opposite side of the spectrum when it comes to all qualities. They clearly lose the battle for acceptable headphones to buy for $350, but some could make a case for the discounted price.Everything I found wrong with the Beats (most to least important):- Sound quality is mediocre.I attribute this to the old design (nearing 3 years) and old parts (Apples W1 chip is long outclassed by the newest chips)With that said, I am also no audiophile (someone who has a keen skill/desire for high quality sound) but I can make general observations about the sound quality from the Studio3's. I can't give an super detailed review of the sound quality because I only listened to ~3 songs and maybe 2 videos. But I can say is the trope that ""Beats just overbass their headphones"" isn't true. I can't say what you find as a proper balance of bass, but to me it seemed fined and not too far one way or the other. But you can tell that the timbre wasn't all that it could be. For the MSRP listed, this should not be case, even for an old design that was adopted and revamped by Apple.- ANC, one of the primary marketing points, is horrible.This is comes from a variety of reasons other than just poor build quality, after reading into the making of the Studio 3's, Beats tried making an early ""adaptive"" ANC by changing the way sound is measured, processed, and then cancelled.However, it fails completely and everything from your fingertips rubbing together at arms length, to a pencil dropping behind a closed door is essentially the same with/without ANC on.The only different is bass is slightly toned down, you don't feel like constantly pressure that other ANC headphones give (kinda like you're in an airplane at max altitude), but you hear a slight ""woosh"" constantly.- As mentioned before, build quality as a whole is terrible.Straight out the box, the right earcup is crumpled a towards the bottom because of a poorly designed folding mechanism that squishes the earcup against the headband as it's packed into the case. The earcups themselves have this cheap, fake leather look and feel, the stitching is far apart and looks poorly made, the earcup foam is obviously cheap, it easily compresses (therefore there's a lot of air) but then refills as if the foam itself isn't compact but just large pockets of air (meaning the foam itself is low quality), and the size of the earcups is very small for over-the-ear headphones. So if you happen to be ok with everything I mention, having medium-big ears will already make the experience impossible to begin with.The top headband, a common weakpoint that's overlooked in headphone design, has literally no cushioning.They didn't even use the foam from the earcups, it's rubber on the outside (when slightly damp or if it just came off someone's head) feels comparable to a pencil eraser. There is a little give to the headband but the material underneath is too thin for me to discern from just pushing down.After wearing the headphones, straight from the box, you could start ""feeling"" the headband begin pressing into your head after ~1 hour, then feel that annoying soreness after ~1.5 hours of total listening. Once again, considering travel or just extended use would be expected of a $350 headphone, there were too many bad choice they let slide.With the buttons provided on the headphone, there is one good but a few bad things.Firstly, Beats Studio3 happen to be one of the few headphones in this bracket that have a distinct power button. But the action button and touch pad are the main concern I found.A lot of online reviews will say the action button (the beats logo) feels cheap and totally disrupts the hearing experience, but I can't say I completely agree. I do like a tactile button, but the button provided has a distinct and somewhat loud click. It doesn't inherently sound cheap nor satisfying to me, but that's partly subjective. However, you can hear the click very clearly when you are wearing them so if that's something you dislike, and you'd prefer a touchpad then be aware of that.One of my most concerning observations for the build was the Micro USB charger in the headphones. A lot of online reviewers bash on the cable that's provided to charge the Studio3 pair, but I don't mind that they were able to pack some ginormous cable because I can plug in the USB A into a nearby port for close charging. However, the choice for Micro USB charging as a whole is a bad idea to me. Micro USB is getting very old now, being outshined by Lighting and USB C when it comes to things like charging speed, data transfer speed, etc. But my main concern is durability. Again, a $350 pair of headphones should essentially guarantee you multiple years of use. I didn't fully test the battery life of the pair, but over my years of use with Micro USB I know that the cable itself can corrode but most importantly if the input port (like the one that built into the headphones) doesn't have good glue to hold it to the plastic inside of the earcup, then the port can pop out can render the charging useless. In the first example of the cable breaking with time, I'm sure a lot of people have old Micro USB cables laying around, but if the input port falls out, then you will be forced to use the provided AUX cord for the headphones (can't listen to portless devices like modern iPhones).- All the other complaints were at least somewhat merited regarding an expensive headphone. But this one is mostly based on aesthetic.Of these entirely subjective points, the most relatable would be the bulky carrying case the headphones come in. It's very wide and rounded, so it definitely won't sit in a backpack or carry-on without taking up unnecessary space. But if the case was designed to be wider/longer but slimmer (like the Sony XM4's) it could slide into thinner pockets without stretching out the bag. Also, forcing the headphones into a smaller but thicker case is what causes that earcup compression problem I mentioned earlier.The scale of the headphones looks off. From product pictures to models wearing them, the headphones look really nice and stylish. I bought the matte black pair, and I was excited to see how they looked. But they pair overall seems smaller than what you expected (like how I briefly mentioned the small earcups). The overall look seems like it could only give that proper ""Beats"" look on certain people with specific head sizes/shapes.If you happen to find this pair on sale, don't really care too much about noise cancelling, want a listening experience that is good but you don't mind if it isn't groundbreaking, but want a pair of headphones for more of the luxury aspect, then it wouldn't seem like a bad deal to buy these.","Reviewed in the United States December 29, 2022",AH46ZHN22ZKGHWOM3UMMORBATP2Q,True,928,Color: Matte BlackSet: Studio3
RX156Q66R1VCP,B08528YFM2,5.0 out of 5 stars I don’t know why I weighed so long to buy these,Katie,5,"I don’t know why I wait so long to buy these but yes I do. I was trying to save my money and they finally went on sale. I am over the moon happy with these headphones.! Great comfort does not hurt my ears not a lot of noise cancellation but that’s OK cause I want to still be able to hear what’s going on around me if I need to be alerted about something love love love these recommend 10,000%","Reviewed in the United States July 5, 2024",AFEXIUICV7QTRIYZDMX7DC5IPPKA,True,0,Color: Shadow GraySet: Studio3
